Question,RIASEC Flag,,,,
1. I like to work on cars,R,,,,
7. I like to build things,R,,,,
"22. I like putting things together or assembling things.
",R,,,,
14. I like to take care of animals,R,,,,
30. I like to cook,R,,,,
32. I am a practical person,R,,,,
37. I like working outdoors,R,,,,
33. I like working with numbers or charts,I,,,,
39. I’m good at math,I,,,,
21. I enjoy trying to figure out how things work,I,,,,
26. I like to analyze things (problems/ situations),I,,,,
2. I like to do puzzles,I,,,,
18. I enjoy science,I,,,,
11. I like to do experiments,I,,,,
12. I like to teach or train people,A,,,,
3. I am good at working independently,A,,,,
23. I am a creative person,A,,,,
31. I like acting in plays,A,,,,
27. I like to play instruments or sing,A,,,,
8. I like to read about art and music,A,,,,
41. I like to draw,A,,,,
17. I enjoy creative writing,A,,,,
40. I like helping people,S,,,,
34. I like to get into discussions about issues,S,,,,
28. I enjoy learning about other cultures,S,,,,
20. I am interested in healing people,S,,,,
13. I like trying to help people solve their problems,S,,,,
4. I like to work in teams,S,,,,
"5. I am an ambitious person, I set goals for myself",E,,,,
29. I would like to start my own business 30.,E,,,,
19. I am quick to take on new responsibilities,E,,,,
16. I like selling things,E,,,,
36. I like to lead,E,,,,
10. I like to try to influence or persuade people,E,,,,
42. I like to give speeches,E,,,,
"6. I like to organize things, (files, desks/offices)",C,,,,
9. I like to have clear instructions to follow,C,,,,
15. I wouldn’t mind working 8 hours per day in an office,C,,,,
24. I pay attention to details,C,,,,
25. I like to do filing or typing,C,,,,
35. I am good at keeping records of my work,C,,,,
38. I would like to work in an office,C,,,,